id,override,price,link,availability
p7825-v9609-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-rubber-sole-black-suede,in stock
p764-v2281-s,DE,400 EUR,https://www.morjas.com/product/the-penny-loafer-brown-suede-unlined,in stock
p1627-v3144-s,DE,400 EUR,https://www.morjas.com/product/the-penny-loafer-medium-brown-suede-unlined,in stock
p3118-v4799-s,DE,400 EUR,https://www.morjas.com/product/the-penny-loafer-sand-suede-unlined,in stock
p5-v1519-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-black-calf,in stock
p38-v1522-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-brown-suede,in stock
p7-v1521-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-brown-calf,in stock
p2446-v4058-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-leather-sole-black-grain,in stock
p6-v1520-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-burgundy-calf,in stock
p39-v1523-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-medium-brown-suede,in stock
p2447-v4059-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-leather-sole-brown-grain,in stock
p3120-v4801-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-black-suede-leather-sole,in stock
p1637-v3154-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-black-grain-black-suede,in stock
p3152-v4834-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-black-grain-navy-suede,in stock
p786-v2303-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-rubber-sole-black-calf,in stock
p785-v2302-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-rubber-sole-brown-suede,in stock
p2-v1524-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-black-grain,in stock
p1629-v3146-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-rubber-sole-brown-calf,in stock
p1630-v3147-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-rubber-sole-medium-brown-suede,in stock
p4-v1526-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-brown-grain,in stock
p1628-v3145-s,DE,350 EUR,https://www.morjas.com/product/the-penny-loafer-rubber-sole-burgundy-calf,in stock
p3122-v4803-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-black-calf,in stock
p3124-v4805-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-brown-suede,in stock
p7336-v9091-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-black-grain,in stock
p3123-v4804-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-burgundy-calf,in stock
p7803-v9585-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-brown-grain,in stock
p7335-v9090-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-black-suede,in stock
p3420-v5102-s,DE,370 EUR,https://www.morjas.com/product/the-ivy-loafer-black-calf-rubber-sole,in stock
